Site,lat,long,Date,DOC,NH4+-N,DRP,TP,Chl a,NO3-N,TN,TSS,SS OM content,VSS,Temperature,Specific conductivity,Discharge,DO,DO,Wind,N2O,N2O (SE),N2O,N2O (SE),N2O emission rate,N2O emission rate (SE),CH4,CH4 (SE),CH4,CH4 (SE),CH4 emission rate,CH4 emission rate (SE),CO2,CO2 (SE),CO2,CO2 (SE),CO2 emission rate,CO2 emission rate (SE)
,,,,mg L-1,μg N L-1,μg P L-1,μg P L-1,μg L-1,mg N L-1,mg N L-1,mg L-1,(%),mg L-1,oC,μS cm-1,m3 s-1,mg L-1,% sat,m s-1,μmol L-1,μmol L-1,saturation ratio,saturation ratio,μg N2O-N m-2 h-1,μg N2O-N m-2 h-1,μmol L-1,μmol L-1,saturation ratio,saturation ratio,μmol CH4 min-1 m-2,μmol CH4 min-1 m-2,μmol L-1,μmol L-1,saturation ratio,saturation ratio,μmol CO2 min-1 m-2,μmol CO2 min-1 m-2
Meldahl,38.797668,-84.184177,08/04/08,3.03,66.4,,,2.9,0.65,,7.2,,,28.75,,1050,7.1,,,0.0146,0.0003,2.04,0.04,9.9,4.1,0.42,0.06,168.02,24.33,0.4,0.1,56.36,0.38,4.99,0.03,39.3,6.9
Riverside,39.072793,-84.601402,08/26/08,2.73,402.3,,,4.17,0.48,,,,,27.41,,329,6.58,,,0.0567,0.0047,7.43,0.62,622.8,106.1,0.89,0.07,274.93,21.48,6.6,0.8,57.55,3.29,4.56,0.26,187.9,45.2
Petersburg,39.069741,-84.87692,08/20/08,2.58,143.9,,,7.06,0.56,,8.4,,,27.44,,472,7.01,,,0.0258,0.0003,3.25,0.04,67.9,9.9,1.09,0.08,357.2,27.61,3.1,0.5,49.34,0.53,3.43,0.04,48.9,5.8
East Bend,38.884405,-84.786428,08/14/08,2.68,94.1,,,4.03,0.73,,,,,27.58,,736,6.62,,,0.0244,0.0002,3.34,0.03,52,7,1.15,0.03,425.71,11.69,2.4,0.5,60.36,0.54,3.9,0.04,38.9,4.2
Markland,38.774223,-84.944133,08/11/08,2.77,75.4,,,9.66,0.84,,,,,28.13,,927,8.07,,,0.0231,0.0001,3.17,0.01,32.9,2.8,0.45,0.02,177.57,7.52,0.6,0.2,27.51,0.15,1.92,0.01,5.3,1.1
1,38.80942,-84.219181,07/30/09,3,36.9,14.65,,9.96,0.667,,25.2,10.6,,26.9,459.7,1424,9,109.7,,0.014,0.0005,1.7664,0.0757,13.57,1.41,0.2889,0.0372,109.4562,14.0807,1.14,0.8,39.3773,1.2765,2.9644,0.1411,21.72,1.5
2b,39.0904,-84.523005,08/27/09,3.15,25.05,16.65,46,5.91,0.624,0.9,11.4,26.3,,27.4,435.3,1068,8.8,111.6,,0.0147,0.0007,1.9578,0.0912,13.4,4.46,0.3205,0.0245,108.0644,8.2694,0.3,0.02,47.3449,10.6223,3.5428,0.7949,32.92,5
3,39.095037,-84.555132,08/24/09,2.63,69.2,15.35,47,5.39,0.657,0.98,21.5,14,,26.4,391.3,1637,8,99.6,,0.0139,0.0002,1.6905,0.0183,27.89,3.92,0.4385,0.121,163.44,45.0837,1.37,0.24,58.2635,3.5248,3.8614,0.2336,125.58,20.89
4,39.08035,-84.574338,08/27/09,2.68,71.9,15.5,48,5.25,0.658,0.95,14.6,28.8,,27.4,440,1070,9,114.3,,0.01,0.005,1.9875,0.0223,24.33,8.97,0.2226,0.1115,112.3895,1.8309,1.58,0.59,27.9529,14.1044,3.1398,0.0656,63.22,19.85
5,39.07235,-84.602722,08/27/09,2.68,79.05,15.75,48,5.18,0.666,0.95,14.8,13.5,,27.4,438,1070,9.1,115.5,,0.0153,0.0003,2.0337,0.038,21.51,1.21,0.576,0.1958,193.8487,65.906,0.63,0.04,38.3152,3.8734,2.8619,0.2893,44.82,1.83
6,39.076333,-84.632188,08/27/09,3.09,203.5,20.8,,2.7,0.86,,14.8,20.3,,25.7,457.6,1073,9.1,111.8,,0.0199,0.0006,2.5076,0.07,47.1,3.4,0.3674,0.0687,132.9971,24.8822,0.91,0.06,73.3391,7.3163,6.1097,0.6017,135.48,6.58
7,39.091983,-84.654005,09/02/09,3.07,201.5,23.25,,2.67,0.922,,14.8,13.5,,25.8,456.7,861,9.4,115.8,,0.0233,0.0012,2.8718,0.1789,84.49,7.74,0.2944,0.0091,106.6307,3.3023,1.35,0.17,73.0104,0.8699,5.6431,0.1113,177.77,14.01
8,39.097617,-84.682205,09/02/09,2.97,158,24.2,,2.53,0.903,,15.4,13,,25.8,455.8,861,9.2,113.5,,0.0229,0.0004,2.823,0.0657,45.69,5.43,0.4401,0.05,159.5329,18.1363,0.81,0.11,77.5279,7.7326,5.9994,0.8616,94.61,9.63
9,39.115883,-84.703038,09/10/09,3.01,125,48.95,105,,0.822,1025,18.4,18.5,,25.7,485.8,817,6.5,80,,0.0167,0.0006,2.0571,0.0937,22.83,1.84,0.4945,0.0573,179.099,20.7639,0.76,0.15,77.9215,7.3915,6.0218,0.159,80.95,13.39
10,39.134317,-84.719672,09/10/09,3.03,203.5,60.1,40,3.17,0.871,1100,19.5,17.9,,25.7,488.9,811,6.4,78.5,,0.0171,0.0004,2.1002,0.0551,35.3,2.76,0.5477,0.064,198.274,23.1768,1.28,0.1,76.6642,2.7067,5.9211,0.0808,132.59,14.29
11,39.145517,-84.744805,09/10/09,3.12,231,68,105,2.59,0.876,1105,16.8,20.9,,25.8,492.3,806,6.5,80,,0.0175,0.0005,2.1593,0.0679,50.4,13.3,0.5322,0.0355,192.8437,12.8724,1.48,0.29,74.1705,2.4375,5.7352,0.3206,133.3,21.36
